Designator,Mid X,Mid Y,Rotation,Layer
RIBBON_CONNECTOR1,159.8,-109.95,0.0,top
RIBBON_CONNECTOR3,179.3,-109.95,0.0,top
SW1,134.8,-97.75,90.0,top
SW10,284.46205,-154.233,0.0,top
SW11,236.86205,-134.233,0.0,top
SW12,236.86205,-109.233,0.0,top
SW13,261.86205,-117.233,0.0,top
SW14,261.86205,-142.233,0.0,top
SW15,192.86205,-178.233,0.0,top
SW2,144.998,-97.75,90.0,top
SW3,134.61205,-174.633,0.0,top
SW4,98.61205,-113.133,0.0,top
SW5,73.61205,-119.633,0.0,top
SW6,118.61205,-129.633,0.0,top
SW7,212.86205,-148.233,0.0,top
SW8,212.86205,-123.233,0.0,top
SW9,284.36205,-129.233,0.0,top
U1,194.8,-102.5,270.0,top
